flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2025-08-19,landed,,,Jandakot,Australia/Perth,JAD,YPJT,,,,2025-08-19T07:50:00+00:00,2025-08-19T07:50:00+00:00,2025-08-18T07:49:00+00:00,2025-08-18T07:49:00+00:00,2025-08-18T07:49:00+00:00,Perth International,Australia/Perth,PER,YPPH,2,,,2025-08-18T07:54:00+00:00,6.0,,2025-08-18T08:00:00+00:00,2025-08-18T08:00:00+00:00,2025-08-18T08:00:00+00:00,empty,,,,,,,,,,,,
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,"4,08",,2025-08-18T15:45:00+00:00,2025-08-18T15:45:00+00:00,,,,Tianhe International,Asia/Shanghai,WUH,ZHHH,3,,,2025-08-18T17:50:00+00:00,,,,,,China Eastern Airlines,MU,CES,2618,MU2618,CES2618,,,,,,,
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,5-8,13.0,2025-08-18T15:10:00+00:00,2025-08-18T15:10:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2025-08-18T17:15:00+00:00,,,,,,Air China LTD,CA,CCA,2672,CA2672,CCA2672,,,,,,,
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,5-8,13.0,2025-08-18T15:10:00+00:00,2025-08-18T15:10:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2025-08-18T17:15:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,4972,ZH4972,CSZ4972,,air china ltd,ca,cca,2672,ca2672,cca2672
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,1112,65.0,2025-08-18T14:35:00+00:00,2025-08-18T14:35:00+00:00,,,,Daguocun,Asia/Shanghai,SJW,ZBSJ,,,,2025-08-18T17:30:00+00:00,,,,,,Spring Airlines,9C,CQH,6116,9C6116,CQH6116,,,,,,,
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,"4,08",,2025-08-18T14:05:00+00:00,2025-08-18T14:05:00+00:00,2025-08-18T13:58:00+00:00,2025-08-18T13:58:00+00:00,2025-08-18T13:58:00+00:00,Nanchang,Asia/Shanghai,KHN,ZSCN,T2,,,2025-08-18T16:15:00+00:00,,2025-08-18T15:40:00+00:00,,,,Jiangxi Airlines,RY,CJX,8936,RY8936,CJX8936,,,,,,,
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,"4,08",,2025-08-18T14:05:00+00:00,2025-08-18T14:05:00+00:00,2025-08-18T13:58:00+00:00,2025-08-18T13:58:00+00:00,2025-08-18T13:58:00+00:00,Nanchang,Asia/Shanghai,KHN,ZSCN,T2,,,2025-08-18T16:15:00+00:00,,2025-08-18T15:40:00+00:00,,,,Hebei Airlines,NS,HBH,5636,NS5636,HBH5636,,jiangxi airlines,ry,cjx,8936,ry8936,cjx8936
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,"4,08",,2025-08-18T14:05:00+00:00,2025-08-18T14:05:00+00:00,2025-08-18T13:58:00+00:00,2025-08-18T13:58:00+00:00,2025-08-18T13:58:00+00:00,Nanchang,Asia/Shanghai,KHN,ZSCN,T2,,,2025-08-18T16:15:00+00:00,,2025-08-18T15:40:00+00:00,,,,Xiamen Airlines,MF,CXA,2069,MF2069,CXA2069,,jiangxi airlines,ry,cjx,8936,ry8936,cjx8936
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,5-8,48.0,2025-08-18T13:50:00+00:00,2025-08-18T13:50:00+00:00,,,,Ganzhou,Asia/Shanghai,KOW,ZSGZ,,,,2025-08-18T15:30:00+00:00,,,,,,China Eastern Airlines,MU,CES,9090,MU9090,CES9090,,,,,,,
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,"4,08",25.0,2025-08-18T13:45:00+00:00,2025-08-18T13:45:00+00:00,2025-08-18T14:10:00+00:00,2025-08-18T14:10:00+00:00,2025-08-18T14:10:00+00:00,Tianhe International,Asia/Shanghai,WUH,ZHHH,3,,5,2025-08-18T15:35:00+00:00,20.0,2025-08-18T15:55:00+00:00,,,,China Eastern Airlines,MU,CES,2552,MU2552,CES2552,,,,,,,
